City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Verkh-Usugli,RU,2022-02-05 16:55:16,52.7,115.1667,-10.79,97,20,3.49,few clouds
112,Natal,BR,2022-02-05 16:54:23,-5.795,-35.2094,88.45,58,20,16.11,few clouds
113,Thompson,CA,2022-02-05 16:53:07,55.7435,-97.8558,-36.24,67,20,0.0,few clouds
114,Nome,US,2022-02-05 16:53:44,64.5011,-165.4064,-9.49,84,0,7.63,clear sky
115,Cape Town,ZA,2022-02-05 16:54:33,-33.9258,18.4232,83.1,49,0,4.0,clear sky
116,Moissala,TD,2022-02-05 16:55:16,8.3404,17.7663,83.97,14,98,5.06,overcast clouds
117,Huesca,ES,2022-02-05 16:55:16,42.1362,-0.4087,52.48,55,0,5.01,clear sky
118,Bangkal,PH,2022-02-05 16:55:17,6.0667,121.0667,77.63,86,98,3.91,overcast clouds
119,Puerto Ayora,EC,2022-02-05 16:55:17,-0.7393,-90.3518,84.16,86,54,5.99,broken clouds
120,Horta,PT,2022-02-05 16:55:17,38.5333,-28.6333,62.24,67,75,11.5,broken clouds
121,Camana,PE,2022-02-05 16:55:18,-16.6228,-72.7111,75.09,69,80,10.49,broken clouds
122,Hobyo,SO,2022-02-05 16:55:18,5.3505,48.5268,76.89,70,13,11.74,few clouds
123,Mehamn,NO,2022-02-05 16:55:18,71.0357,27.8492,21.42,87,66,18.48,broken clouds
124,Chuy,UY,2022-02-05 16:55:19,-33.6971,-53.4616,83.12,50,83,8.52,broken clouds
125,Nikolskoye,RU,2022-02-05 16:55:19,59.7035,30.7861,25.88,94,100,11.3,snow
126,Lebu,CL,2022-02-05 16:55:19,-37.6167,-73.65,64.42,65,0,19.15,clear sky
127,Castro,BR,2022-02-05 16:55:19,-24.7911,-50.0119,74.03,84,89,8.08,overcast clouds
128,Inuvik,CA,2022-02-05 16:55:20,68.3499,-133.7218,-31.79,68,20,1.14,few clouds
129,Port Alfred,ZA,2022-02-05 16:55:20,-33.5906,26.891,70.27,83,98,24.61,overcast clouds
130,Dikson,RU,2022-02-05 16:50:55,73.5069,80.5464,-18.92,100,96,3.51,overcast clouds
131,Campeche,MX,2022-02-05 16:50:22,19.0,-90.5,73.65,86,99,4.94,overcast clouds
132,Lagoa,PT,2022-02-05 16:51:54,39.05,-27.9833,58.6,75,62,16.24,broken clouds
133,Bolshaya Rechka,RU,2022-02-05 16:55:21,51.9503,104.7355,10.67,87,100,0.94,overcast clouds
134,Osoyoos,CA,2022-02-05 16:55:21,49.0331,-119.4524,31.33,83,61,1.14,broken clouds
135,Arraial Do Cabo,BR,2022-02-05 16:55:21,-22.9661,-42.0278,89.56,66,0,19.57,clear sky
136,Sompeta,IN,2022-02-05 16:55:21,18.9333,84.6,69.69,51,92,2.93,overcast clouds
137,Petropavlovsk-Kamchatskiy,RU,2022-02-05 16:55:22,53.0452,158.6483,16.39,67,0,8.95,clear sky
138,Kimbe,PG,2022-02-05 16:55:22,-5.5502,150.1429,77.59,87,58,3.6,broken clouds
139,Sola,VU,2022-02-05 16:54:08,-13.8833,167.55,82.24,76,100,20.13,overcast clouds
140,Pechenga,RU,2022-02-05 16:55:22,69.5259,31.1703,18.46,86,100,18.3,overcast clouds
141,Bambous Virieux,MU,2022-02-05 16:55:23,-20.3428,57.7575,80.85,83,40,16.11,light rain
142,Adrar,MR,2022-02-05 16:55:23,20.5022,-10.0711,82.71,6,34,8.34,scattered clouds
143,Dingle,PH,2022-02-05 16:55:23,10.9995,122.6711,74.86,82,37,11.36,scattered clouds
144,Lazaro Cardenas,MX,2022-02-05 16:55:24,17.9583,-102.2,81.45,54,2,1.36,clear sky
145,Korla,CN,2022-02-05 16:55:24,41.7597,86.1469,25.99,39,100,9.22,overcast clouds
146,Minab,IR,2022-02-05 16:55:24,27.1467,57.0801,71.1,73,2,2.3,clear sky
147,Bandarbeyla,SO,2022-02-05 16:55:24,9.4942,50.8122,75.99,67,32,10.07,scattered clouds
148,Olafsvik,IS,2022-02-05 16:55:25,64.8945,-23.7142,29.53,63,100,16.69,overcast clouds
149,Naze,JP,2022-02-05 16:55:25,28.3667,129.4833,50.56,66,78,17.45,broken clouds
150,Maniitsoq,GL,2022-02-05 16:55:25,65.4167,-52.9,5.83,90,100,14.65,light snow
151,Koungou,YT,2022-02-05 16:55:26,-12.7336,45.2042,83.91,79,20,16.11,few clouds
152,Coquimbo,CL,2022-02-05 16:55:26,-29.9533,-71.3436,67.73,77,20,13.8,few clouds
153,Bull Savanna,JM,2022-02-05 16:55:26,17.8868,-77.5902,81.95,45,10,5.57,clear sky
154,Vila Franca Do Campo,PT,2022-02-05 16:53:53,37.7167,-25.4333,63.01,77,99,13.22,overcast clouds
155,Quatre Cocos,MU,2022-02-05 16:55:26,-20.2078,57.7625,80.71,85,100,17.72,light rain
156,Qasigiannguit,GL,2022-02-05 16:55:27,68.8193,-51.1922,-2.47,79,100,5.64,overcast clouds
157,Kilindoni,TZ,2022-02-05 16:55:27,-7.9139,39.6668,79.16,76,100,8.68,overcast clouds
158,Vigeland,NO,2022-02-05 16:55:27,58.0844,7.305,43.95,87,97,24.99,light rain
159,Orapa,BW,2022-02-05 16:55:27,-21.2833,25.3667,78.1,54,91,15.19,light rain
160,Kovvur,IN,2022-02-05 16:55:28,17.0167,81.7333,80.85,69,61,10.36,broken clouds
161,Lavrentiya,RU,2022-02-05 16:50:42,65.5833,-171.0,-18.72,94,29,8.79,scattered clouds
162,Batagay-Alyta,RU,2022-02-05 16:55:28,67.8006,130.4114,-25.65,99,62,3.71,broken clouds
163,Ngunguru,NZ,2022-02-05 16:55:28,-35.6167,174.5,72.16,96,96,12.55,overcast clouds
164,Bredy,RU,2022-02-05 16:55:29,52.4153,60.3411,16.99,93,100,8.08,overcast clouds
165,Tagusao,PH,2022-02-05 16:55:29,9.1924,117.8141,77.72,83,83,4.79,broken clouds
166,Kanye,BW,2022-02-05 16:55:29,-24.9667,25.3327,70.34,65,53,9.6,broken clouds
167,Gubbio,IT,2022-02-05 16:55:29,43.3545,12.5725,51.24,83,99,5.03,overcast clouds
168,Vanimo,PG,2022-02-05 16:55:30,-2.6741,141.3028,78.53,86,94,6.62,overcast clouds
169,Saraland,US,2022-02-05 16:55:30,30.8207,-88.0706,45.64,51,2,9.95,clear sky
170,Kodinsk,RU,2022-02-05 16:55:30,58.6881,99.1844,20.21,94,100,8.39,light snow
171,Cabo San Lucas,MX,2022-02-05 16:55:31,22.8909,-109.9124,69.51,63,24,3.0,few clouds
172,Mount Pleasant,US,2022-02-05 16:55:31,32.7941,-79.8626,52.07,52,0,5.01,clear sky
173,Biltine,TD,2022-02-05 16:55:31,14.5333,20.9167,75.02,12,33,12.59,scattered clouds
174,Luza,RU,2022-02-05 16:55:32,60.6308,47.2512,3.4,97,45,5.01,scattered clouds
175,Zig,US,2022-02-05 16:55:32,40.127,-92.7663,21.9,54,3,8.01,clear sky
176,Narsaq,GL,2022-02-05 16:55:32,60.9167,-46.05,-1.5,69,0,5.86,clear sky
177,Solnechnyy,RU,2022-02-05 16:55:32,50.7214,136.6319,1.83,98,100,1.19,overcast clouds
178,Udachnyy,RU,2022-02-05 16:55:33,66.4167,112.4,-32.08,100,80,3.47,broken clouds
179,Spring Valley,US,2022-02-05 16:55:33,36.108,-115.245,49.3,30,20,6.91,few clouds
180,Severo-Kurilsk,RU,2022-02-05 16:55:33,50.6789,156.125,28.13,90,100,9.71,light snow
181,Nuuk,GL,2022-02-05 16:55:33,64.1835,-51.7216,5.88,77,100,15.99,overcast clouds
182,Ribeira Grande,PT,2022-02-05 16:55:34,38.5167,-28.7,63.0,67,75,11.5,broken clouds
183,Pilar,BR,2022-02-05 16:55:34,-9.5972,-35.9567,85.93,43,86,12.17,overcast clouds
184,Bapatla,IN,2022-02-05 16:55:34,15.9,80.4667,73.71,85,80,6.26,broken clouds
185,Alekseyevsk,RU,2022-02-05 16:55:35,57.8406,108.3492,17.15,94,100,10.0,light snow
186,Hornepayne,CA,2022-02-05 16:55:35,49.2138,-84.7705,2.39,81,82,3.76,broken clouds
187,Sur,OM,2022-02-05 16:50:49,22.5667,59.5289,73.63,50,1,4.34,clear sky
188,Faanui,PF,2022-02-05 16:55:35,-16.4833,-151.75,80.78,70,12,18.57,few clouds
189,Dongtai,CN,2022-02-05 16:55:36,32.8523,120.3095,30.07,43,51,4.36,broken clouds
190,Sitka,US,2022-02-05 16:55:36,57.0531,-135.33,42.69,81,100,10.36,moderate rain
191,Glasgow,GB,2022-02-05 16:55:36,55.8652,-4.2576,44.51,89,75,12.66,moderate rain
192,Havre-Saint-Pierre,CA,2022-02-05 16:55:36,50.2334,-63.5986,7.39,72,100,14.97,overcast clouds
193,Aksarka,RU,2022-02-05 16:55:37,66.5606,67.7975,-16.76,100,93,3.53,overcast clouds
194,Belaya Gora,RU,2022-02-05 16:55:37,68.5333,146.4167,-39.69,100,92,1.3,overcast clouds
195,Vadlapudi,IN,2022-02-05 16:55:37,14.3167,79.8,74.3,84,48,6.02,scattered clouds
196,Shahr-E Kord,IR,2022-02-05 16:52:29,32.3256,50.8644,31.77,51,0,4.61,clear sky
197,Bergen,NO,2022-02-05 16:55:38,60.392,5.328,43.65,91,75,23.02,light intensity shower rain
198,Havoysund,NO,2022-02-05 16:55:38,70.9963,24.6622,29.28,70,79,30.8,broken clouds
199,Mount Isa,AU,2022-02-05 16:55:38,-20.7333,139.5,71.37,49,40,3.44,scattered clouds
200,Norman Wells,CA,2022-02-05 16:55:38,65.282,-126.8329,-11.65,94,95,5.99,overcast clouds
201,Colac,AU,2022-02-05 16:55:39,-38.3333,143.5833,61.16,81,100,10.04,overcast clouds
202,Mayo,US,2022-02-05 16:55:39,38.8876,-76.5119,33.42,50,40,14.0,scattered clouds
203,Torbay,CA,2022-02-05 16:51:21,47.6666,-52.7314,49.75,94,100,27.63,light rain
204,Hov,NO,2022-02-05 16:55:39,60.6987,10.3519,31.89,89,82,5.64,broken clouds
205,San Patricio,US,2022-02-05 16:54:43,28.017,-97.5169,44.17,38,2,6.62,clear sky
206,Cap-Aux-Meules,CA,2022-02-05 16:55:40,47.3821,-61.8597,24.85,93,100,14.97,overcast clouds
207,Central Point,US,2022-02-05 16:55:40,42.376,-122.9164,29.61,65,18,1.28,few clouds
208,Oktyabrskoye,RU,2022-02-05 16:55:40,43.0645,44.7417,28.54,74,75,4.47,broken clouds
209,Blythe,US,2022-02-05 16:55:40,33.6103,-114.5964,49.03,19,5,6.64,clear sky
210,Ponta Do Sol,PT,2022-02-05 16:55:41,32.6667,-17.1,73.13,50,2,12.48,clear sky
211,Tulun,RU,2022-02-05 16:55:41,54.5611,100.5792,23.0,86,100,6.96,overcast clouds
212,Namibe,AO,2022-02-05 16:55:41,-15.1961,12.1522,76.08,63,30,13.06,scattered clouds
213,Luderitz,NA,2022-02-05 16:50:54,-26.6481,15.1594,70.74,68,9,4.5,clear sky
214,Sisimiut,GL,2022-02-05 16:55:42,66.9395,-53.6735,2.26,91,97,11.97,light snow
215,Kolda,SN,2022-02-05 16:55:42,12.8833,-14.95,102.88,5,0,4.92,clear sky
216,Ancud,CL,2022-02-05 16:55:42,-41.8697,-73.8203,71.22,58,3,6.93,clear sky
217,Tazovskiy,RU,2022-02-05 16:55:42,67.4667,78.7,-7.83,100,98,6.76,overcast clouds
